ADUA,PAIS,COD_PAI4,COD_SAL,VIA,BANDERA,MODAD,DPTO2,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
90,196,CRI,BOG,4,169,198,5,33,KG,2.0,6.0,3.0,8.0,2.0,6.0,20.0,63150.0,4.0
3,589,PER,BOG,4,249,104,11,11,U,1.0,3.0,3.0,3.0,125.0,401070.0,0.0,0.0,0.0
3,239,ECU,BOG,4,850,104,11,11,U,6.0,,37.0,,37.0,502.0,74.0,1581690.0,42.0
3,573,NLD,BOG,4,23,198,5,33,KG,125.0,142.0,56.0,125.0,365.0,2.0,1148970.0,31.0,0.0
90,249,USA,MDE,4,211,198,5,11,U,65014.0,10591.0,9801.0,60023.0,8.0,190144714.0,2.0,0.0,0.0
3,399,JPN,BOG,4,23,199,11,11,U,71980.0,816.0,783.0,5400.0,17050608.0,0.0,0.0,0.0,0.0
3,249,USA,BOG,4,249,199,13,33,KG,426.0,2.0,457.0,2.0,426.0,2.0,4796.0,41.0,15115838.0
48,647,DOM,CTG,1,434,199,25,11,U,670000.0,326756.0,8.0,282168.0,4.0,182482.0,22.0,586190481.0,8.0
3,23,DEU,BOG,4,249,198,76,11,U,93553.0,513.0,9.0,427.0,53.0,7336.0,17.0,23102264.0,38.0
3,589,PER,BOG,4,249,198,5,11,U,89.0,16.0,11.0,14.0,37.0,204.0,663002.0,4.0,0.0
16,580,PAN,PEI,4,169,198,66,11,U,685.0,2749.0,67.0,2474.0,7.0,10275.0,33391181.0,25.0,0.0
3,249,USA,BOG,4,249,198,11,11,U,444.0,127.0,59.0,112.0,33.0,16614.0,66.0,52935848.0,38.0
3,580,PAN,BOG,4,169,198,11,33,KG,302.0,8.0,357.0,302.0,8.0,5072.0,3.0,15927985.0,73.0
37,239,ECU,IPI,3,239,199,5,33,KG,85.0,92.0,89.0,61.0,85.0,92.0,3625.0,4.0,11468807.0
48,23,DEU,CTG,1,467,198,25,11,U,1301.0,6071.0,57.0,6040.0,57.0,167238.0,87.0,524738712.0,8.0
48,589,PER,CTG,1,23,199,13,33,KG,63750.0,65110.0,63750.0,66309.0,88.0,211578509.0,6.0,64863.0,75.0
87,249,USA,BAQ,1,434,198,5,33,KG,3504.0,3758.0,3504.0,4835.0,52.0,15515056.0,5.0,0.0,395.0
90,239,ECU,BOG,4,239,199,5,11,U,363.0,48.0,57.0,42.0,76.0,11535.0,63.0,35997625.0,55.0
48,399,JPN,CTG,1,215,198,5,33,KG,17505.0,17655.0,17505.0,52484.0,99.0,164013494.0,4.0,0.0,0.0
3,647,DOM,BOG,4,580,198,25,33,KG,156.0,43.0,170.0,87.0,156.0,43.0,10681.0,31.0,33934543.0
